firm,q,medium firm,big firm,epsp,profit margin,book/market,short leverage,f1 stock return
AYRO,2022q1,0,0,-0.09691363416028592,-4.458955141175516,0.3854537407820118,0.0024681134774614815,-0.8282991803278688
AYX,2022q1,1,0,-0.021820152862192133,-0.6683951602180561,-3.0436128636554907,0.057051320251806745,-0.43710764938386415
AZPN,2022q1,0,1,0.006814564065088198,0.4001161099955793,-2.6551440379817164,0.02398160196434946,0.3354660462410936
BAH,2022q1,0,1,0.007763369634062615,0.040603178801792254,-2.4143840354879638,0.020033440791957614,0.08181914808132354
BAND,2022q1,0,0,-0.008345513883048527,-0.05187113668889498,-1.1776191649059091,0.006837438199348129,-0.8635440835266822
BASE,2022q1,0,0,-0.01720153944588291,-0.37748117727583846,-1.43503645994212,0.0,
BBGI,2022q1,0,0,-0.07231950952674374,-0.06710204561104971,0.8609931937434642,0.010268149705804393,-0.5570934256055363
BBQ,2022q1,0,0,0.004824631430905785,0.011950018696248286,-0.8872673593339091,0.06872664968015278,-0.4510010537407798
BBSI,2022q1,0,0,0.000500849655955783,0.0011689497716894977,-1.1302127043549477,0.008416643616390721,0.019858463388724924
BCO,2022q1,1,0,0.022051871777350903,0.06638733705772812,-2.1682918012975594,0.023128825820812465,-0.20035264908566125
BCOV,2022q1,0,0,-0.0050849282574243785,-0.030667490960864758,-1.1682299121731543,0.01300223902963629,-0.5595818815331011
BDL,2022q1,0,0,0.025738409022637115,0.0411604264815274,0.09842668564993995,0.04078141304579302,-0.23368362693956068
BFAM,2022q1,0,1,0.0024670622016999258,0.042149480136139825,-1.903410907279604,0.029534882362122834,-0.4254639385493849
BFH,2022q1,1,0,0.0748772975589724,0.19662921348314608,-0.21235840362539754,,
BGSF,2022q1,0,0,0.11507485938328266,0.2305114684480919,-0.40919730548066435,0.014601305885018822,0.04138254040580993
BH,2022q1,0,0,-0.0009056081758693158,-0.0034906058192381577,0.5792886244383817,0.019254865925987803,-0.23057628394055305
BIGC,2022q1,1,0,-0.023260482963319822,-0.5607418622255866,-2.6735552230566784,0.005526989164708763,-0.7504621072088724
BILL,2022q1,0,1,-0.0036915005174522767,-0.5195583274918969,-1.7534223633814925,0.12687563236103083,-0.39982530843978603
BIOC,2022q1,0,0,-0.07080664975698821,-0.13878164953622463,-0.05422600789718274,0.023731111972103834,-0.7756563245823389
BJRI,2022q1,0,0,0.0022035603810424804,0.0048873728362495775,-0.6740719122947011,0.03879673744681685,-0.5588115588115589
